زمان,باران 6 (mm),تابش خورشیدی 7 (W/m2),جهت باد 5 (degree),دما 1 (°C),رطوبت 2 (%),سرعت باد 4 (km/h),فشار هوا 3 (kPa)
06:40                                                     1405/04/24,367.4mm,246W/m2,51.3degree,18.5°C,77.2%,2.7km/h,91.5kPa
06:40                                                     1405/04/25,376.8mm,236W/m2,9.1degree,19.7°C,66.4%,2.2km/h,91.8kPa
06:40                                                     1405/04/26,376.8mm,61W/m2,328.9degree,20.0°C,43.7%,10.4km/h,92.0kPa
06:40                                                     1405/04/27,376.8mm,181W/m2,357.9degree,15.3°C,59.7%,6.8km/h,91.5kPa
06:40                                                     1405/04/28,376.8mm,241W/m2,329.7degree,19.6°C,56.6%,3.2km/h,91.4kPa
06:40                                                     1405/04/29,376.8mm,227W/m2,338.0degree,20.8°C,45.2%,6.3km/h,91.6kPa
06:40                                                     1405/04/30,376.8mm,239W/m2,348.8degree,21.3°C,43.2%,6.7km/h,91.4kPa
06:40                                                     1405/05/01,376.8mm,56W/m2,5.7degree,15.1°C,69.3%,8.1km/h,91.9kPa
06:40                                                     1405/05/02,376.8mm,127W/m2,43.1degree,15.6°C,68.1%,4.6km/h,91.8kPa
06:40                                                     1405/05/03,376.8mm,238W/m2,316.0degree,18.9°C,57.2%,4.1km/h,91.9kPa
06:40                                                     1405/05/04,376.8mm,259W/m2,5.6degree,18.2°C,54.5%,1.9km/h,91.8kPa
06:40                                                     1405/05/05,376.8mm,259W/m2,25.9degree,23.3°C,33.9%,2.8km/h,91.7kPa
06:40                                                     1405/05/06,376.8mm,262W/m2,41.8degree,25.6°C,34.1%,2.9km/h,91.7kPa
06:40                                                     1405/05/07,376.8mm,237W/m2,63.0degree,23.2°C,43.7%,1.8km/h,91.4kPa
06:40                                                     1405/05/08,376.8mm,234W/m2,277.9degree,21.7°C,49.5%,1.9km/h,91.9kPa
06:40                                                     1405/05/09,376.8mm,255W/m2,12.2degree,23.4°C,38.1%,4.8km/h,91.8kPa
06:40                                                     1405/05/10,378.4mm,252W/m2,43.5degree,18.1°C,67.8%,18.6km/h,91.9kPa
06:40                                                     1405/05/11,378.4mm,260W/m2,24.9degree,19.4°C,56.0%,6.9km/h,91.9kPa
06:50                                                     1405/03/21,290.2mm,87W/m2,5.9degree,12.8°C,66.0%,1.7km/h,91.2kPa
06:50                                                     1405/03/22,290.2mm,134W/m2,233.1degree,12.2°C,68.0%,5.2km/h,91.8kPa
06:50                                                     1405/03/23,290.6mm,155W/m2,299.5degree,12.4°C,69.0%,2.5km/h,92.1kPa
06:50                                                     1405/03/24,290.6mm,107W/m2,325.9degree,14.6°C,60.4%,1.4km/h,91.8kPa
06:50                                                     1405/03/25,293.8mm,21W/m2,351.8degree,14.4°C,87.2%,2.1km/h,91.0kPa
06:50                                                     1405/03/26,295.0mm,207W/m2,58.0degree,13.6°C,86.0%,1.2km/h,91.2kPa
06:50                                                     1405/03/27,295.0mm,82W/m2,97.3degree,15.5°C,76.9%,4.8km/h,91.2kPa
06:50                                                     1405/03/28,304.2mm,154W/m2,205.7degree,13.2°C,90.7%,8.4km/h,90.9kPa
06:50                                                     1405/03/29,304.2mm,190W/m2,302.9degree,11.5°C,70.6%,5.5km/h,91.1kPa
06:50                                                     1405/03/30,325.8mm,117W/m2,63.6degree,12.9°C,65.0%,2.3km/h,91.2kPa
06:50                                                     1405/03/31,325.8mm,177W/m2,316.2degree,13.1°C,63.0%,0.9km/h,91.2kPa
06:50                                                     1405/04/01,329.6mm,7W/m2,101.4degree,11.3°C,84.1%,6.7km/h,91.2kPa
06:50                                                     1405/04/02,350.4mm,92W/m2,49.5degree,9.8°C,81.3%,2.4km/h,91.8kPa
06:50                                                     1405/04/03,350.6mm,178W/m2,319.8degree,10.1°C,79.2%,1.9km/h,91.4kPa
06:50                                                     1405/04/04,350.6mm,267W/m2,308.3degree,12.4°C,77.7%,0.3km/h,91.3kPa
06:50                                                     1405/04/09,406.4mm,208W/m2,311.0degree,10.8°C,81.7%,2.5km/h,91.6kPa
06:50                                                     1405/04/10,406.4mm,225W/m2,326.7degree,12.8°C,70.9%,9.8km/h,91.8kPa
06:50                                                     1405/04/11,406.8mm,210W/m2,316.0degree,14.3°C,70.4%,2.1km/h,92.2kPa
06:50                                                     1405/04/12,406.8mm,223W/m2,346.0degree,14.0°C,70.1%,3.9km/h,92.0kPa
06:50                                                     1405/04/13,355.2mm,176W/m2,322.5degree,15.4°C,68.3%,0.5km/h,91.4kPa
06:50                                                     1405/04/14,355.2mm,226W/m2,337.1degree,17.7°C,59.1%,2.6km/h,91.5kPa
06:50                                                     1405/04/15,355.2mm,211W/m2,318.5degree,11.5°C,71.4%,4.3km/h,92.1kPa
06:50                                                     1405/04/16,355.2mm,81W/m2,68.3degree,12.4°C,60.6%,0.9km/h,91.9kPa
06:50                                                     1405/04/17,355.2mm,141W/m2,335.1degree,9.9°C,66.7%,2.6km/h,92.3kPa
06:50                                                     1405/04/18,355.2mm,241W/m2,335.5degree,10.7°C,65.1%,3.4km/h,92.0kPa
06:50                                                     1405/04/19,355.2mm,256W/m2,140.4degree,15.0°C,60.3%,2.3km/h,91.6kPa
06:50                                                     1405/04/20,355.2mm,100W/m2,309.7degree,17.2°C,51.5%,1.7km/h,91.3kPa
06:50                                                     1405/04/21,355.2mm,166W/m2,99.0degree,20.8°C,54.6%,0.5km/h,91.2kPa
06:50                                                     1405/04/22,356.4mm,13W/m2,257.0degree,14.1°C,91.2%,1.8km/h,91.4kPa
06:50                                                     1405/04/23,367.4mm,56W/m2,101.3degree,12.5°C,93.3%,2.7km/h,91.7kPa
06:50                                                     1405/04/24,367.4mm,196W/m2,320.7degree,18.4°C,76.4%,3.4km/h,91.5kPa
06:50                                                     1405/04/25,376.8mm,264W/m2,313.3degree,20.3°C,59.3%,5.9km/h,91.8kPa
06:50                                                     1405/04/26,376.8mm,74W/m2,354.0degree,19.9°C,44.0%,3.4km/h,91.9kPa
06:50                                                     1405/04/27,376.8mm,142W/m2,10.1degree,15.4°C,56.7%,7.0km/h,91.4kPa
06:50                                                     1405/04/28,376.8mm,270W/m2,1.4degree,20.5°C,54.0%,2.6km/h,91.4kPa
06:50                                                     1405/04/29,376.8mm,257W/m2,316.6degree,21.5°C,43.1%,5.2km/h,91.6kPa
06:50                                                     1405/04/30,376.8mm,256W/m2,330.1degree,21.6°C,44.3%,3.5km/h,91.4kPa
06:50                                                     1405/05/01,376.8mm,32W/m2,25.6degree,15.3°C,69.0%,3.0km/h,91.9kPa
06:50                                                     1405/05/02,376.8mm,123W/m2,43.2degree,15.3°C,68.3%,7.8km/h,91.8kPa
06:50                                                     1405/05/03,376.8mm,306W/m2,9.2degree,19.7°C,56.5%,2.3km/h,91.9kPa
06:50                                                     1405/05/04,376.8mm,286W/m2,340.8degree,18.8°C,52.7%,2.4km/h,91.8kPa
06:50                                                     1405/05/05,376.8mm,283W/m2,2.3degree,23.8°C,31.6%,5.0km/h,91.7kPa
06:50                                                     1405/05/06,376.8mm,294W/m2,80.1degree,26.1°C,35.8%,4.6km/h,91.7kPa
06:50                                                     1405/05/08,376.8mm,260W/m2,327.3degree,22.5°C,47.0%,2.2km/h,91.9kPa
06:50                                                     1405/05/09,376.8mm,282W/m2,322.6degree,23.8°C,36.9%,11.3km/h,91.8kPa
07:00                                                     1405/03/21,290.2mm,117W/m2,358.3degree,12.2°C,68.2%,1.2km/h,91.2kPa
07:00                                                     1405/03/22,290.2mm,161W/m2,243.5degree,13.1°C,65.6%,8.2km/h,91.8kPa
07:00                                                     1405/03/23,290.6mm,177W/m2,324.6degree,13.5°C,62.8%,2.5km/h,92.2kPa
07:00                                                     1405/03/24,290.6mm,167W/m2,315.1degree,15.5°C,56.5%,2.7km/h,91.9kPa
07:00                                                     1405/03/25,293.8mm,47W/m2,341.5degree,14.5°C,86.5%,2.3km/h,91.0kPa
07:00                                                     1405/03/26,295.0mm,231W/m2,81.4degree,14.5°C,84.3%,1.9km/h,91.2kPa
07:00                                                     1405/03/27,295.0mm,74W/m2,145.4degree,15.9°C,78.5%,1.0km/h,91.2kPa
07:00                                                     1405/03/28,304.2mm,247W/m2,209.6degree,13.3°C,89.6%,9.8km/h,90.9kPa
07:00                                                     1405/03/29,304.2mm,224W/m2,268.3degree,12.5°C,69.5%,3.8km/h,91.1kPa
07:00                                                     1405/03/30,325.8mm,166W/m2,347.9degree,12.8°C,63.9%,2.6km/h,91.2kPa
07:00                                                     1405/03/31,325.8mm,204W/m2,306.9degree,14.2°C,57.7%,1.9km/h,91.1kPa
07:00                                                     1405/04/01,329.6mm,16W/m2,154.0degree,11.4°C,84.6%,0.9km/h,91.2kPa
07:00                                                     1405/04/02,350.4mm,103W/m2,58.7degree,10.0°C,81.1%,3.1km/h,91.8kPa
07:00                                                     1405/04/03,350.6mm,206W/m2,312.6degree,10.2°C,79.3%,3.0km/h,91.5kPa
07:00                                                     1405/04/04,350.6mm,316W/m2,303.6degree,13.4°C,74.1%,0.7km/h,91.2kPa
07:00                                                     1405/04/09,406.4mm,248W/m2,307.9degree,11.4°C,80.3%,3.1km/h,91.6kPa
07:00                                                     1405/04/10,406.4mm,253W/m2,327.1degree,13.3°C,70.0%,13.5km/h,91.8kPa
07:00                                                     1405/04/11,406.8mm,237W/m2,317.4degree,14.5°C,68.9%,5.5km/h,92.2kPa
07:00                                                     1405/04/12,406.8mm,244W/m2,319.4degree,14.9°C,65.4%,7.5km/h,92.0kPa
07:00                                                     1405/04/13,355.2mm,254W/m2,31.5degree,16.3°C,63.5%,2.2km/h,91.4kPa
07:00                                                     1405/04/14,355.2mm,254W/m2,50.5degree,18.6°C,58.4%,3.7km/h,91.6kPa
07:00                                                     1405/04/15,355.2mm,236W/m2,322.8degree,11.9°C,69.7%,4.8km/h,92.1kPa
07:00                                                     1405/04/16,355.2mm,75W/m2,78.2degree,12.2°C,59.3%,6.7km/h,91.9kPa
07:00                                                     1405/04/17,355.2mm,153W/m2,331.5degree,10.2°C,65.3%,1.5km/h,92.3kPa
07:00                                                     1405/04/18,355.2mm,270W/m2,7.2degree,11.3°C,62.9%,5.3km/h,92.0kPa
07:00                                                     1405/04/19,355.2mm,288W/m2,155.8degree,15.7°C,56.4%,5.2km/h,91.6kPa
07:00                                                     1405/04/20,355.2mm,97W/m2,322.0degree,17.7°C,49.4%,3.7km/h,91.3kPa
07:00                                                     1405/04/21,355.2mm,132W/m2,319.4degree,21.7°C,49.2%,3.5km/h,91.2kPa
07:00                                                     1405/04/22,357.0mm,83W/m2,36.4degree,14.0°C,91.3%,6.8km/h,91.3kPa
07:00                                                     1405/04/23,367.4mm,72W/m2,141.5degree,12.8°C,93.5%,1.9km/h,91.7kPa
07:00                                                     1405/04/24,367.4mm,209W/m2,23.4degree,18.3°C,76.2%,2.7km/h,91.5kPa
07:00                                                     1405/04/25,376.8mm,306W/m2,317.1degree,20.9°C,58.0%,6.9km/h,91.8kPa
07:00                                                     1405/04/26,376.8mm,125W/m2,318.0degree,19.9°C,45.9%,7.5km/h,92.0kPa
07:00                                                     1405/04/27,376.8mm,155W/m2,64.6degree,15.7°C,54.6%,1.1km/h,91.4kPa
07:00                                                     1405/04/28,376.8mm,300W/m2,354.2degree,21.1°C,52.2%,3.1km/h,91.4kPa
07:00                                                     1405/04/29,376.8mm,288W/m2,350.1degree,22.0°C,40.4%,6.9km/h,91.5kPa
07:00                                                     1405/04/30,376.8mm,304W/m2,27.8degree,21.8°C,42.5%,3.9km/h,91.4kPa
07:00                                                     1405/05/01,376.8mm,57W/m2,12.8degree,15.4°C,68.2%,5.4km/h,91.9kPa
07:00                                                     1405/05/02,376.8mm,142W/m2,29.5degree,15.5°C,67.5%,3.3km/h,91.8kPa
07:00                                                     1405/05/03,376.8mm,291W/m2,356.3degree,20.3°C,54.2%,2.1km/h,91.9kPa
07:00                                                     1405/05/05,376.8mm,313W/m2,2.3degree,24.5°C,31.3%,4.1km/h,91.8kPa
07:00                                                     1405/05/06,376.8mm,330W/m2,42.5degree,26.0°C,33.8%,4.1km/h,91.7kPa
07:00                                                     1405/05/07,376.8mm,294W/m2,189.3degree,25.8°C,31.9%,3.2km/h,91.5kPa
07:00                                                     1405/05/08,376.8mm,285W/m2,313.0degree,22.7°C,44.5%,2.7km/h,91.9kPa
07:00                                                     1405/05/09,376.8mm,313W/m2,329.1degree,24.2°C,35.9%,4.9km/h,91.8kPa
07:00                                                     1405/05/10,378.4mm,307W/m2,48.8degree,18.7°C,64.3%,6.2km/h,91.8kPa
07:00                                                     1405/05/11,378.4mm,269W/m2,353.5degree,19.9°C,54.8%,4.4km/h,91.9kPa
07:10                                                     1405/03/21,290.2mm,196W/m2,232.9degree,13.0°C,67.9%,0.7km/h,91.3kPa
07:10                                                     1405/03/22,290.2mm,189W/m2,229.8degree,14.0°C,62.7%,5.3km/h,91.8kPa
07:10                                                     1405/03/23,290.6mm,204W/m2,324.6degree,14.0°C,59.6%,5.6km/h,92.2kPa
